Дата,Описание,Категория,Ссылка
17 октября 2023,У платёжной системы Humo наблюдались проблемы при оплате по терминалам,Общество,news3.html
18 октября 2023,"«Деревья нужно сажать не для показухи, а для нашей жизни, завтрашнего дня» — президент Узбекистана",Органы власти,news4.html
19 октября 2023,Интервью: Зачем нужны ботанические сады и какие развлечения в них могут быть,Общество,news5.html
20 октября 2023,В Ташкенте пройдёт международный бизнес-саммит «Корпоративное управление на Шёлковом пути»,Органы власти,news6.html
21 октября 2023,Зарафшан встречает осенний сезон с яркими красками,Общество,news7.html
22 октября 2023,Открытие нового музея искусств в Зарафшане,Органы власти,news8.html
23 октября 2023,Мэр города Зарафшан объявляет программу улучшения городской инфраструктуры,Органы власти,news9.html
24 октября 2023,Спортивные события: Зарафшан готовится к местному футбольному турниру,Органы власти,news10.html
25 октября 2023,Зарафшанская фермерская ярмарка привлекает туристов и гурманов,Общество,news11.html
26 октября 2023,Новые инвестиции в экологические инициативы Зарафшана,Органы власти,news12.html
27 октября 2023,Зарафшанская школа искусств проводит выставку работ своих учеников,Общество,news13.html
28 октября 2023,Местные предприниматели запускают стартапы в Зарафшане,Общество,news14.html
22 октября 2023,Открытие нового музея искусств в Зарафшане,Органы власти,news15.html
24 октября 2023,Спортивные события: Зарафшан готовится к местному футбольному турниру,Органы власти,news16.html
28 октября 2023,Зарафшанские школы получили новые компьютерные классы,Общество,news17.html
